# Symbol universe for the Yen-unwind adversarial backtest
# (databento_start=2024-08-02T13:30:00Z, databento_end=2024-08-09T20:00:00Z).
#
# Same companies as the default kSymbolCompanyList in
# include/models/symbol_universe.hpp, minus the one symbol that did not
# trade publicly in August 2024:
#
#   SNDK   - Spun off from WDC 2025-02-21 (post-window)
#
# Note: ARM (IPO 2023-09-14), OKLO (SPAC 2024-05-10), XPEV (2020-08-27),
# and HWM (2020-04-01) all existed by August 2024, so unlike the COVID
# universe they remain in this list. OKLO had only ~3 months of trading
# history at window start - expect thin L2 for it.
#
# Net universe size: 49.
#
# Format: symbol[,company]   (one per line; '#' comments and blanks skipped)
# Used via AppConfig.symbol_universe_path; loaded by
# hft::load_symbol_universe_from_file in src/lib/SymbolUniverse.cpp.

AAPL,Apple
AMAT,Applied Materials
AMD,AMD
AMKR,Amkor Technology
APD,Air Products
ARM,Arm Holdings ADR
ASML,ASML
ASX,ASE Technology
AWK,American Water Works
CDNS,Cadence
CEG,Constellation Energy
CSCO,Cisco
DD,DuPont
DELL,Dell
ENTG,Entegris
GFS,GlobalFoundries
GSM,Ferroglobe
HPE,Hewlett Packard Enterprise
HPQ,HP Inc
HWM,Howmet Aerospace
IBM,IBM
IMOS,ChipMOS
INTC,Intel
KEYS,Keysight
KLAC,KLA
LEA,Lear
LIN,Linde
LMT,Lockheed Martin
LRCX,Lam Research
MKSI,MKS Instruments
MU,Micron
NIO,Nio
NOC,Northrop Grumman
NOK,Nokia ADR
NVDA,NVIDIA
OKLO,Oklo
PSTG,Pure Storage
QCOM,Qualcomm
RTX,Raytheon Technologies
SMCI,Super Micro Computer
SNPS,Synopsys
STX,Seagate
TSEM,Tower Semiconductor
TSM,TSMC ADR
TTE,TotalEnergies ADR
UMC,United Microelectronics
VST,Vistra Energy
WDC,Western Digital
XPEV,XPeng ADR
