step,decision_id,rank,symbol,score,score_tilt,hawkes_buy,hawkes_sell,hit_count,ou_mu,ou_initialized,mid,best_limit,active,chosen,gate
0,0,0,CDNS,15,1,15,10,0,266.44,1,266.44,266.44,1,1,
0,0,1,TTE,15,1,15,10,0,93.065,1,93.065,93.065,1,0,
0,0,2,NOK,15,1,15,10,0,9.765,1,9.765,9.765,1,0,
0,0,3,OKLO,15,1,15,10,0,48.775,1,48.775,48.775,0,0,
0,0,4,NVDA,15,1,15,10,0,185.975,1,185.975,185.975,0,0,
0,0,5,INTC,15,1,15,10,0,62.925,1,62.925,62.925,0,0,
0,0,6,MU,15,1,15,10,0,417.63,1,417.63,417.63,0,0,
0,0,7,QCOM,15,1,15,10,0,127.7,1,127.7,127.7,0,0,
0,0,8,ARM,15,1,15,10,0,148.19,1,148.19,148.19,0,0,
0,0,9,KLAC,15,1,15,10,0,1740.13,1,1740.13,1740.13,0,0,
0,0,10,SNPS,15,1,15,10,0,391.32,1,391.32,391.32,0,0,
0,0,11,MKSI,15,1,15,10,0,267.82,1,267.82,267.82,0,0,
0,0,12,ENTG,15,1,15,10,0,134.115,1,134.115,134.115,0,0,
0,0,13,WDC,15,1,15,10,0,344.28,1,344.28,344.28,0,0,
0,0,14,PSTG,15,1,15,10,0,100,0,100.85,100.85,0,0,
0,0,15,HPQ,15,1,15,10,0,18.275,1,18.275,18.275,0,0,
0,0,16,SMCI,15,1,15,10,0,25.02,1,25.02,25.02,0,0,
0,0,17,CSCO,15,1,15,10,0,82.07,1,82.07,82.07,0,0,
0,0,18,HPE,15,1,15,10,0,24.4,1,24.4,24.4,0,0,
0,0,19,IBM,15,1,15,10,0,233.025,1,233.025,233.025,0,0,
0,0,20,KEYS,15,1,15,10,0,323.01,1,323.01,323.01,0,0,
0,0,21,SNDK,15,1,15,10,0,876.295,1,876.295,876.295,0,0,
0,0,22,CEG,15,1,15,10,0,284.335,1,284.335,284.335,0,0,
0,0,23,NIO,15,1,15,10,0,6.57,1,6.57,6.57,0,0,
0,0,24,AWK,15,1,15,10,0,136.48,1,136.48,136.48,0,0,
0,0,25,LEA,15,1,15,10,0,122.535,1,122.535,122.535,0,0,
0,0,26,IMOS,15,1,15,10,0,40,1,40,40,0,0,
0,0,27,TSM,15,1,15,10,0,370.075,1,370.075,370.075,0,0,
0,0,28,HWM,15,1,15,10,0,252.515,1,252.515,252.515,0,0,
0,0,29,TSEM,15,1,15,10,0,202.21,1,202.21,202.21,0,0,
0,0,30,NOC,15,1,15,10,0,678.84,1,678.84,678.84,0,0,
0,0,31,GSM,15,1,15,10,0,4.21785,1,4.21785,4.21785,0,0,
0,0,32,UMC,15,1,15,10,0,9.4711,1,9.4711,9.4711,0,0,
0,0,33,GFS,15,1,15,10,0,48.555,1,48.555,48.555,0,0,
0,0,34,AMKR,10,1,10,10,0,57.665,1,57.665,57.665,0,0,
0,0,35,XPEV,10,1,10,10,0,17.32,1,17.32,17.32,0,0,
0,0,36,ASX,10,1,10,10,0,26.06,1,26.06,26.06,0,0,
0,0,37,DELL,10,1,10,10,0,179,1,179,179,0,0,
0,0,38,STX,10,1,10,10,0,499.73,1,499.73,499.73,0,0,
0,0,39,AAPL,10,1,10,10,0,259.925,1,259.925,259.925,0,0,
0,0,40,VST,10,1,10,10,0,153.575,1,153.575,153.575,0,0,
0,0,41,LIN,10,1,10,10,0,504.245,1,504.245,504.245,0,0,
0,0,42,LRCX,10,1,10,10,0,263.745,1,263.745,263.745,0,0,
0,0,43,AMAT,10,1,10,10,0,398.91,1,398.91,398.91,0,0,
0,0,44,ASML,10,1,10,10,0,1468.55,1,1468.55,1468.55,0,0,
0,0,45,LMT,10,1,10,10,0,615.985,1,615.985,615.985,0,0,
0,0,46,AMD,10,1,10,10,0,245.83,1,245.83,245.83,0,0,
0,0,47,RTX,10,1,10,10,0,201.91,1,201.91,201.91,0,0,
0,0,48,DD,10,1,10,10,0,47.01,1,47.01,47.01,0,0,
0,0,49,APD,10,1,10,10,0,299.705,1,299.705,299.705,0,0,
0,1,0,CDNS,15,1,15,10,0,266.44,1,266.44,266.44,1,0,
0,1,1,TTE,15,1,15,10,0,93.065,1,93.065,93.065,1,1,
0,1,2,NOK,15,1,15,10,0,9.765,1,9.765,9.765,1,0,
0,1,3,OKLO,15,1,15,10,0,48.775,1,48.775,48.775,0,0,
0,1,4,NVDA,15,1,15,10,0,185.975,1,185.975,185.975,0,0,
0,1,5,INTC,15,1,15,10,0,62.925,1,62.925,62.925,0,0,
0,1,6,MU,15,1,15,10,0,417.63,1,417.63,417.63,0,0,
0,1,7,QCOM,15,1,15,10,0,127.7,1,127.7,127.7,0,0,
0,1,8,ARM,15,1,15,10,0,148.19,1,148.19,148.19,0,0,
0,1,9,KLAC,15,1,15,10,0,1740.13,1,1740.13,1740.13,0,0,
0,1,10,SNPS,15,1,15,10,0,391.32,1,391.32,391.32,0,0,
0,1,11,MKSI,15,1,15,10,0,267.82,1,267.82,267.82,0,0,
0,1,12,ENTG,15,1,15,10,0,134.115,1,134.115,134.115,0,0,
0,1,13,WDC,15,1,15,10,0,344.28,1,344.28,344.28,0,0,
0,1,14,PSTG,15,1,15,10,0,100,0,100.85,100.85,0,0,
0,1,15,HPQ,15,1,15,10,0,18.275,1,18.275,18.275,0,0,
0,1,16,SMCI,15,1,15,10,0,25.02,1,25.02,25.02,0,0,
0,1,17,CSCO,15,1,15,10,0,82.07,1,82.07,82.07,0,0,
0,1,18,HPE,15,1,15,10,0,24.4,1,24.4,24.4,0,0,
0,1,19,IBM,15,1,15,10,0,233.025,1,233.025,233.025,0,0,
0,1,20,KEYS,15,1,15,10,0,323.01,1,323.01,323.01,0,0,
0,1,21,SNDK,15,1,15,10,0,876.295,1,876.295,876.295,0,0,
0,1,22,CEG,15,1,15,10,0,284.335,1,284.335,284.335,0,0,
0,1,23,NIO,15,1,15,10,0,6.57,1,6.57,6.57,0,0,
0,1,24,AWK,15,1,15,10,0,136.48,1,136.48,136.48,0,0,
0,1,25,LEA,15,1,15,10,0,122.535,1,122.535,122.535,0,0,
0,1,26,IMOS,15,1,15,10,0,40,1,40,40,0,0,
0,1,27,TSM,15,1,15,10,0,370.075,1,370.075,370.075,0,0,
0,1,28,HWM,15,1,15,10,0,252.515,1,252.515,252.515,0,0,
0,1,29,TSEM,15,1,15,10,0,202.21,1,202.21,202.21,0,0,
0,1,30,NOC,15,1,15,10,0,678.84,1,678.84,678.84,0,0,
0,1,31,GSM,15,1,15,10,0,4.21785,1,4.21785,4.21785,0,0,
0,1,32,UMC,15,1,15,10,0,9.4711,1,9.4711,9.4711,0,0,
0,1,33,GFS,15,1,15,10,0,48.555,1,48.555,48.555,0,0,
0,1,34,AMKR,10,1,10,10,0,57.665,1,57.665,57.665,0,0,
0,1,35,XPEV,10,1,10,10,0,17.32,1,17.32,17.32,0,0,
0,1,36,ASX,10,1,10,10,0,26.06,1,26.06,26.06,0,0,
0,1,37,DELL,10,1,10,10,0,179,1,179,179,0,0,
0,1,38,STX,10,1,10,10,0,499.73,1,499.73,499.73,0,0,
0,1,39,AAPL,10,1,10,10,0,259.925,1,259.925,259.925,0,0,
0,1,40,VST,10,1,10,10,0,153.575,1,153.575,153.575,0,0,
0,1,41,LIN,10,1,10,10,0,504.245,1,504.245,504.245,0,0,
