ts_ns,step,decision_id,rank,symbol,score,score_tilt,hawkes_buy,hawkes_sell,hit_count,ou_mu,ou_initialized,mid,best_limit,active,chosen,gate
# session_start ts=2026-05-19T02:58:32.308Z ts_ns=1779159512308447495 kind=step_trace mode=databento_backtest label=cpp_backtest_10day_full universe_size=50
1779159515584520997,0,0,0,CDNS,15,1,15,10,0,266.44,1,266.44,267.16,1,0,
1779159515584520997,0,0,1,TTE,15,1,15,10,0,93.065,1,93.065,93.09,1,0,
1779159515584520997,0,0,2,NOK,15,1,15,10,0,9.765,1,9.765,9.77,1,0,
1779159515584520997,0,0,3,OKLO,15,1,15,10,0,48.775,1,48.775,48.89,0,0,
1779159515584520997,0,0,4,NVDA,15,1,15,10,0,185.975,1,185.975,186,0,0,
1779159515584520997,0,0,5,INTC,15,1,15,10,0,62.925,1,62.925,62.96,0,0,
1779159515584520997,0,0,6,MU,15,1,15,10,0,417.63,1,417.63,417.91,0,0,
1779159515584520997,0,0,7,QCOM,15,1,15,10,0,127.7,1,127.7,127.87,0,0,
1779159515584520997,0,0,8,ARM,15,1,15,10,0,148.19,1,148.19,148.45,0,0,
1779159515584520997,0,0,9,KLAC,15,1,15,10,0,1740.13,1,1740.13,1745.28,0,0,
1779159515584520997,0,0,10,SNPS,15,1,15,10,0,391.32,1,391.32,391.9,0,0,
1779159515584520997,0,0,11,MKSI,15,1,15,10,0,267.82,1,267.82,272.07,0,0,
1779159515584520997,0,0,12,ENTG,15,1,15,10,0,134.115,1,134.115,135,0,0,
1779159515584520997,0,0,13,WDC,15,1,15,10,0,344.28,1,344.28,345.14,0,0,
1779159515584520997,0,0,14,PSTG,15,1,15,10,0,100,0,100.85,100.85,0,0,
1779159515584520997,0,0,15,HPQ,15,1,15,10,0,18.275,1,18.275,18.29,0,0,
1779159515584520997,0,0,16,SMCI,15,1,15,10,0,25.02,1,25.02,25.04,0,0,
1779159515584520997,0,0,17,CSCO,15,1,15,10,0,82.07,1,82.07,82.12,0,0,
1779159515584520997,0,0,18,HPE,15,1,15,10,0,24.4,1,24.4,24.5,0,0,
1779159515584520997,0,0,19,IBM,15,1,15,10,0,233.025,1,233.025,233.53,0,0,
1779159515584520997,0,0,20,KEYS,15,1,15,10,0,323.01,1,323.01,323.97,0,0,
1779159515584520997,0,0,21,SNDK,15,1,15,10,0,876.295,1,876.295,877.64,0,0,
1779159515584520997,0,0,22,CEG,15,1,15,10,0,284.335,1,284.335,285.21,0,0,
1779159515584520997,0,0,23,NIO,15,1,15,10,0,6.57,1,6.57,6.58,0,0,
1779159515584520997,0,0,24,AWK,15,1,15,10,0,136.48,1,136.48,136.9,0,0,
1779159515584520997,0,0,25,LEA,15,1,15,10,0,122.535,1,122.535,124.29,0,0,
1779159515584520997,0,0,26,IMOS,15,1,15,10,0,40,1,40,40.42,0,0,
1779159515584520997,0,0,27,TSM,15,1,15,10,0,370.075,1,370.075,370.26,0,0,
1779159515584520997,0,0,28,HWM,15,1,15,10,0,252.515,1,252.515,253.48,0,0,
1779159515584520997,0,0,29,TSEM,15,1,15,10,0,202.21,1,202.21,202.7,0,0,
1779159515584520997,0,0,30,NOC,15,1,15,10,0,678.84,1,678.84,679.99,0,0,
1779159515584520997,0,0,31,GSM,15,1,15,10,0,4.21785,1,4.21785,4.239,0,0,
1779159515584520997,0,0,32,UMC,15,1,15,10,0,9.4711,1,9.4711,9.486,0,0,
1779159515584520997,0,0,33,GFS,15,1,15,10,0,48.555,1,48.555,48.73,0,0,
1779159515584520997,0,0,34,AMKR,10,1,10,10,0,57.665,1,57.665,57.82,0,0,
1779159515584520997,0,0,35,XPEV,10,1,10,10,0,17.32,1,17.32,17.34,0,0,
1779159515584520997,0,0,36,ASX,10,1,10,10,0,26.06,1,26.06,26.08,0,0,
1779159515584520997,0,0,37,DELL,10,1,10,10,0,179,1,179,180,0,0,
1779159515584520997,0,0,38,STX,10,1,10,10,0,499.73,1,499.73,501.14,0,0,
