ts_ns,step,symbol,best_bid,bid_size,best_ask,ask_size,microprice,bid_vol_top10,ask_vol_top10,sell_limit,sell_score
# session_start ts=2026-05-21T00:44:49.071Z ts_ns=1779324289071307782 kind=l2_trace mode=databento_backtest label=cpp_backtest_10day_xwire_fix universe_size=50
1779326487105817908,1,AWK,136.27,218,136.93,1,136.927,241,30,138.19,9.81623e-05
1779327915944437218,1,CSCO,82.02,110,82.07,40,82.0567,1965,325,82.9098,0.000249162
1779329050865350547,1,HPE,24.22,1772,24.24,40,24.2396,2099,515,24.7526,0.000236688
1779330902282743539,122,WDC,345.35,200,345.8,5,345.789,416,230,349.306,5.81937e-09
1779330902303898163,301,HPE,24.48,433,24.49,1705,24.482,2087,6030,24.7425,0.000486889
1779332241611930057,393,HPQ,18.66,83,18.7,200,18.6717,983,2011,18.8571,0.00160747
1779333913962192306,428,DELL,182.9,212,183.21,30,183.172,444,329,184.952,2.17375e-05
1779334851661664143,790,AMKR,60.14,102,60.6,2,60.5912,231,314,61.0689,0.00277549
1779335928491443591,1238,LRCX,263.25,2,263.46,200,263.252,416,399,265.845,1.32515e-06
1779337076917335224,1239,ARM,157.05,20,157.26,101,157.085,64,367,158.69,7.76077e-05
1779337076928823222,1339,WDC,355.34,30,355.64,1,355.63,255,284,359.025,1.24819e-08
1779337990163254974,1398,VST,162.7,10,162.81,10,162.755,32,104,164.504,6.06926e-05
1779339014300296819,1411,CEG,294.88,95,295.46,202,295.066,276,461,298.553,1.40245e-08
1779339014356445091,2013,CEG,291.48,40,291.78,30,291.651,222,266,294.254,1.00312e-06
1779339014356733539,2016,VST,161.55,5,161.84,5,161.695,90,127,163.363,9.41516e-05
# session_end ts=2026-05-21T05:07:11.335Z ts_ns=1779340031335667550 kind=l2_trace orders_placed=16 open_positions=2
