ts_ns,step,order_id,symbol,side,qty,limit,event,filled_qty,remaining_qty,avg_fill_price
# session_start ts=2026-05-21T00:44:49.071Z ts_ns=1779324289071277961 kind=order mode=databento_backtest label=cpp_backtest_10day_xwire_fix universe_size=50
1779324292810102829,0,1,AWK,buy,3,136.9,placed,0,3,0
1779324292810187155,0,2,CSCO,buy,6,82.12,placed,0,6,0
1779324292810256091,0,3,HPE,buy,20,24.5,placed,0,20,0
1779324292810267616,1,3,HPE,buy,20,24.5,filled,20,0,24.5
1779324292810271482,1,2,CSCO,buy,6,82.12,filled,6,0,82.12
1779324292810274115,1,1,AWK,buy,3,136.9,filled,3,0,136.9
1779326487105877139,1,4,AWK,sell,3,138.19,placed,0,3,0
1779327915945935325,1,5,CSCO,sell,6,82.9098,placed,0,6,0
1779329050865410100,1,6,HPE,sell,20,24.7526,placed,0,20,0
1779329050875934613,110,6,HPE,sell,20,24.7526,filled,20,0,24.78
1779329050877615844,121,7,WDC,buy,1,346.11,placed,0,1,0
1779329050877632566,122,7,WDC,buy,1,346.11,filled,1,0,346.11
1779330902287968228,122,8,WDC,sell,1,349.306,placed,0,1,0
1779330902300149387,259,8,WDC,sell,1,349.306,filled,1,0,349.5
1779330902303800539,300,9,HPE,buy,20,24.5,placed,0,20,0
1779330902303816911,301,9,HPE,buy,20,24.5,filled,20,0,24.49
1779330902303905713,301,10,HPE,sell,20,24.7425,placed,0,20,0
1779330902311164367,388,10,HPE,sell,20,24.7425,filled,20,0,24.75
1779330902311694067,392,11,HPQ,buy,26,18.66,placed,0,26,0
1779330902311710820,393,11,HPQ,buy,26,18.66,filled,26,0,18.66
1779332241611983470,393,12,HPQ,sell,26,18.8571,placed,0,26,0
1779332241614410089,421,12,HPQ,sell,26,18.8571,filled,26,0,18.89
1779332241615104237,427,13,DELL,buy,2,183.24,placed,0,2,0
1779332241615119738,428,13,DELL,buy,2,183.24,filled,2,0,183.24
1779333913962247852,428,14,DELL,sell,2,184.952,placed,0,2,0
1779333913988891113,746,14,DELL,sell,2,184.952,filled,2,0,185.02
1779333913992732445,789,15,AMKR,buy,8,60.48,placed,0,8,0
1779333913992750179,790,15,AMKR,buy,8,60.48,filled,8,0,60.48
1779334851662647379,790,16,AMKR,sell,8,61.0689,placed,0,8,0
1779334851697915133,1187,16,AMKR,sell,8,61.0689,filled,8,0,61.1
1779334851698104193,1189,5,CSCO,sell,6,82.9098,filled,6,0,82.96
1779334851702708756,1237,17,LRCX,buy,1,263.41,placed,0,1,0
1779334851702728603,1238,17,LRCX,buy,1,263.41,filled,1,0,263.41
1779335928492614065,1238,18,LRCX,sell,1,265.845,placed,0,1,0
1779335928492725289,1238,19,ARM,buy,3,157.21,placed,0,3,0
1779335928492766225,1239,19,ARM,buy,3,157.21,filled,3,0,157.21
1779337076919058873,1239,20,ARM,sell,3,158.69,placed,0,3,0
1779337076920856883,1252,20,ARM,sell,3,158.69,filled,3,0,158.83
1779337076922596603,1271,18,LRCX,sell,1,265.845,filled,1,0,265.86
1779337076928725618,1338,21,WDC,buy,1,355.83,placed,0,1,0
1779337076928744294,1339,21,WDC,buy,1,355.83,filled,1,0,355.74
1779337076928830673,1339,22,WDC,sell,1,359.025,placed,0,1,0
1779337076934037535,1397,23,VST,buy,3,162.97,placed,0,3,0
1779337076934056221,1398,23,VST,buy,3,162.97,filled,3,0,162.97
1779337990163314566,1398,24,VST,sell,3,164.504,placed,0,3,0
1779337990164024945,1406,22,WDC,sell,1,359.025,filled,1,0,359.49
1779337990164538053,1410,25,CEG,buy,1,295.82,placed,0,1,0
1779337990164556759,1411,25,CEG,buy,1,295.82,filled,1,0,295.82
1779339014301380865,1411,26,CEG,sell,1,298.553,placed,0,1,0
1779339014312963931,1536,26,CEG,sell,1,298.553,filled,1,0,298.91
1779339014312971491,1536,24,VST,sell,3,164.504,filled,3,0,164.83
1779339014356169732,2011,27,VST,buy,3,162,placed,0,3,0
1779339014356338775,2012,28,CEG,buy,1,291.63,placed,0,1,0
1779339014356356168,2013,28,CEG,buy,1,291.63,filled,1,0,291.56
1779339014356454034,2013,29,CEG,sell,1,294.254,placed,0,1,0
1779339014356653669,2016,27,VST,buy,3,162,filled,3,0,161.84
1779339014356739568,2016,30,VST,sell,3,163.363,placed,0,3,0
1779339014493777205,3521,29,CEG,sell,1,294.254,filled,1,0,294.29
1779339014494036301,3522,31,TSEM,buy,2,203.69,placed,0,2,0
1779339014494059474,3523,31,TSEM,buy,2,203.69,filled,2,0,203.69
1779340031237394107,3619,30,VST,sell,3,163.363,filled,3,0,163.47
# session_end ts=2026-05-21T05:07:11.335Z ts_ns=1779340031335661261 kind=order orders_placed=16 open_positions=2
