ts_ns,step,symbol,best_bid,bid_size,best_ask,ask_size,microprice,bid_vol_top10,ask_vol_top10,sell_limit,sell_score
# session_start ts=2026-05-25T01:42:46.656Z ts_ns=1779673366656234205 kind=l2_trace mode=databento_backtest label=cpp_backtest_10day_v6_cachefix2 universe_size=50
1779673370908537387,1,AWK,136.27,218,136.93,1,136.927,241,30,138.414,2.7178e-05
1779674521841948735,1,CSCO,82.02,110,82.07,40,82.0567,1965,325,83.0165,0.00012535
1779674538334322268,1,HPE,24.22,1772,24.24,40,24.2396,2099,515,24.7776,0.000182437
1779674555249055178,127,WDC,345.05,119,345.33,105,345.199,669,380,349.077,1.34036e-09
1779675520971257459,390,AMAT,398,162,401.49,5,401.386,581,398,400.163,0.154794
1779675547271576192,1238,LRCX,263.25,2,263.46,200,263.252,416,399,266.535,2.56185e-08
1779675547387154969,2514,LRCX,261.19,61,261.28,12,261.265,126,388,264.385,2.14992e-08
1779675554421613381,2758,VST,156.18,2,156.32,20,156.193,276,140,157.965,6.39095e-05
1779675554451047647,3091,LRCX,264.24,2,264.37,200,264.241,140,509,267.503,1.26102e-08
1779675554458518829,3170,LRCX,263.72,63,263.89,99,263.786,235,682,266.595,8.43894e-08
1779675554460332433,3189,LRCX,264.48,20,264.55,7,264.532,269,251,267.685,3.96599e-08
1779676554490549454,3219,TSEM,202.74,67,203.48,123,203.001,330,486,206.164,3.52768e-08
1779677415446726670,3525,IBM,227.9,10,228.01,84,227.912,274,243,230.094,7.45439e-06
1779677415485848290,3954,LRCX,258.31,100,258.5,100,258.405,851,174,261.579,6.2902e-08
1779677415498110003,4078,LRCX,259.04,93,259.17,421,259.064,510,557,262.256,2.08027e-08
# session_end ts=2026-05-25T02:50:15.552Z ts_ns=1779677415552672270 kind=l2_trace orders_placed=15 open_positions=3
