ts_ns,step,order_id,symbol,side,qty,limit,event,filled_qty,remaining_qty,avg_fill_price
# session_start ts=2026-05-25T01:42:46.656Z ts_ns=1779673366656199917 kind=order mode=databento_backtest label=cpp_backtest_10day_v6_cachefix2 universe_size=50
1779673366945192535,0,1,AWK,buy,3,136.9,placed,0,3,0
1779673366945275199,0,2,CSCO,buy,6,82.12,placed,0,6,0
1779673366945341100,0,3,HPE,buy,20,24.5,placed,0,20,0
1779673366945351714,1,3,HPE,buy,20,24.5,filled,20,0,24.5
1779673366945355399,1,2,CSCO,buy,6,82.12,filled,6,0,82.12
1779673366945357843,1,1,AWK,buy,3,136.9,filled,3,0,136.9
1779673370908583481,1,4,AWK,sell,3,138.414,placed,0,3,0
1779674521842004642,1,5,CSCO,sell,6,83.0165,placed,0,6,0
1779674538334374830,1,6,HPE,sell,20,24.7776,placed,0,20,0
1779674538343526698,110,6,HPE,sell,20,24.7776,filled,20,0,24.78
1779674538345046264,126,7,WDC,buy,1,345.2,placed,0,1,0
1779674538345063647,127,7,WDC,buy,1,345.2,filled,1,0,345.2
1779674555249986282,127,8,WDC,sell,1,349.077,placed,0,1,0
1779674555261053782,254,8,WDC,sell,1,349.077,filled,1,0,349.11
1779674555272530387,389,9,AMAT,buy,1,395.82,placed,0,1,0
1779674555272562760,390,9,AMAT,buy,1,395.82,filled,1,0,395.82
1779675520971315860,390,10,AMAT,sell,1,400.163,placed,0,1,0
1779675521038919032,1190,5,CSCO,sell,6,83.0165,filled,6,0,83.06
1779675521043118488,1237,11,LRCX,buy,1,263.41,placed,0,1,0
1779675521043134260,1238,11,LRCX,buy,1,263.41,filled,1,0,263.41
1779675547272660668,1238,12,LRCX,sell,1,266.535,placed,0,1,0
1779675547301711766,1561,12,LRCX,sell,1,266.535,filled,1,0,266.91
1779675547387052988,2513,13,LRCX,buy,1,261.64,placed,0,1,0
1779675547387073466,2514,13,LRCX,buy,1,261.64,filled,1,0,261.28
1779675547387163581,2514,14,LRCX,sell,1,264.385,placed,0,1,0
1779675547406308826,2731,10,AMAT,sell,1,400.163,filled,1,0,401.6
1779675547408823957,2757,15,VST,buy,3,156.27,placed,0,3,0
1779675547408842523,2758,15,VST,buy,3,156.27,filled,3,0,156.27
1779675554421670810,2758,16,VST,sell,3,157.965,placed,0,3,0
1779675554439732120,2963,14,LRCX,sell,1,264.385,filled,1,0,264.47
1779675554449281179,3071,17,LRCX,buy,1,264.58,placed,0,1,0
1779675554450968698,3091,17,LRCX,buy,1,264.58,filled,1,0,264.37
1779675554451054987,3091,18,LRCX,sell,1,267.503,placed,0,1,0
1779675554455058613,3134,18,LRCX,sell,1,267.503,filled,1,0,268.26
1779675554458419772,3169,19,LRCX,buy,1,263.76,placed,0,1,0
1779675554458440872,3170,19,LRCX,buy,1,263.76,filled,1,0,263.47
1779675554458525869,3170,20,LRCX,sell,1,266.595,placed,0,1,0
1779675554459076229,3177,20,LRCX,sell,1,266.595,filled,1,0,266.78
1779675554459424700,3179,21,LRCX,buy,1,265.33,placed,0,1,0
1779675554460244692,3189,21,LRCX,buy,1,265.33,filled,1,0,264.55
1779675554460339271,3189,22,LRCX,sell,1,267.685,placed,0,1,0
1779675554462675096,3216,16,VST,sell,3,157.965,filled,3,0,158.39
1779675554463001256,3218,23,TSEM,buy,2,203.92,placed,0,2,0
1779675554463018940,3219,23,TSEM,buy,2,203.92,filled,2,0,203.92
1779676554490603738,3219,24,TSEM,sell,2,206.164,placed,0,2,0
1779676554516807905,3511,22,LRCX,sell,1,267.685,filled,1,0,273.07
1779676554518214805,3524,25,IBM,buy,2,227.63,placed,0,2,0
1779676554518238467,3525,25,IBM,buy,2,227.63,filled,2,0,227.63
1779677415446781586,3525,26,IBM,sell,2,230.094,placed,0,2,0
1779677415472322345,3810,26,IBM,sell,2,230.094,filled,2,0,230.16
1779677415485743075,3953,27,LRCX,buy,1,258.53,placed,0,1,0
1779677415485768510,3954,27,LRCX,buy,1,258.53,filled,1,0,258.5
1779677415485856772,3954,28,LRCX,sell,1,261.579,placed,0,1,0
1779677415492881001,4033,28,LRCX,sell,1,261.579,filled,1,0,261.69
1779677415497468027,4071,29,LRCX,buy,1,259.2,placed,0,1,0
1779677415498014191,4078,29,LRCX,buy,1,259.2,filled,1,0,259.17
1779677415498118925,4078,30,LRCX,sell,1,262.256,placed,0,1,0
# session_end ts=2026-05-25T02:50:15.552Z ts_ns=1779677415552665512 kind=order orders_placed=15 open_positions=3
